Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
UserReg_T01_Homepage,300,1964,1896,3842,4131,4506,149,4831,0.000%,1.95529,11.67,4.22
-13 /WebTours/index.htm,300,1762,1696,3658,3929,4273,1,4608,0.000%,1.96298,1.27,0.72
-15 /WebTours/header.html,300,1,1,2,3,4,0,52,0.000%,1.96374,1.93,0.83
-16 /cgi-bin/welcome.pl,300,72,65,108,120,169,42,186,0.000%,1.96249,1.96,0.85
-24 /WebTours/home.html,300,54,55,61,62,63,4,63,0.000%,1.96322,3.18,0.91
-23 /cgi-bin/nav.pl,300,73,68,107,118,171,45,211,0.000%,1.96316,3.36,0.92
UserReg_T02_ClickSignupNow,300,2001,1984,3746,4073,4361,52,4635,0.000%,1.93687,5.05,0.93
-44 /cgi-bin/login.pl,300,2001,1984,3746,4073,4361,52,4635,0.000%,1.93687,5.05,0.93
UserReg_T03_SubmitDetails,300,1999,1891,3728,4077,4357,49,4601,0.000%,1.92682,2.76,1.42
-56 /cgi-bin/login.pl,300,1999,1891,3728,4077,4357,49,4601,0.000%,1.92682,2.76,1.42
UserReg_T04_ClickContinue,300,2198,2120,3960,4168,4643,281,4748,0.000%,1.92368,7.01,3.41
-57 /cgi-bin/welcome.pl,300,1924,1854,3670,3913,4403,43,4496,0.000%,1.92673,1.55,1.12
-58 /cgi-bin/nav.pl,300,134,125,182,209,269,91,315,0.000%,1.92657,3.29,1.15
-59 /cgi-bin/login.pl,300,139,131,185,209,270,93,288,0.000%,1.92636,2.18,1.14
UserReg_T05_SignOff,300,2044,1906,3862,4076,4456,141,4609,0.000%,1.92278,5.22,2.04
-64 /cgi-bin/welcome.pl,300,1911,1773,3731,3936,4320,45,4426,0.000%,1.92411,1.93,1.15
-65 /cgi-bin/nav.pl,300,133,124,182,199,230,93,266,0.000%,1.92490,3.30,0.89
TOTAL,5100,1200,247,3456,3841,4354,0,4831,0.000%,27.64063,53.23,20.21
